Ticker,Company Name,Country,State,Exchange,Sector,Industry,IPO Date
ADTN,ADTRAN Holdings Inc.,US,AL,NASDAQ,Technology,Communication Equipment,1994-08-10
ADTX,Aditxt Inc.,US,VA,NASDAQ,Healthcare,Biotechnology,2020-06-30
ADUS,Addus HomeCare Corporation,US,TX,NASDAQ,Healthcare,Medical Care Facilities,2009-10-28
ADV,Advantage Solutions Inc.,US,CA,NASDAQ,Communication Services,Advertising Agencies,1999-01-04
ADVM,Adverum Biotechnologies Inc.,US,CA,NASDAQ,Healthcare,Biotechnology,2014-07-31
ADVWW,Advantage Solutions Inc.,,,NASDAQ,,,
ADX,Adams Diversified Equity Fund Inc.,US,MD,NYSE,Financial Services,Asset Management,1980-03-17
ADXN,Addex Therapeutics Ltd,CH,,NASDAQ,Healthcare,Biotechnology,2020-01-29
AE,Adams Resources & Energy Inc.,US,TX,AMEX,Energy,Oil & Gas Refining & Marketing,1981-05-22
AEE,Ameren Corporation,US,MO,NYSE,Utilities,Utilities-Regulated Electric,1952-12-15
AEF,Abrdn Emerging Markets Equity Income Fund Inc,GB,,NYSE,Financial Services,Asset Management,1989-09-26
AEG,Aegon N.V.,NL,,NYSE,Financial Services,Insurance-Diversified,2001-08-29
AEHL,Antelope Enterprise Holdings Limited,CN,,NASDAQ,Industrials,Building Products & Equipment,2007-12-17
AEHR,Aehr Test Systems,US,CA,NASDAQ,Technology,Semiconductor Equipment & Materials,1997-08-15
AEI,Alset EHome International Inc.,US,MD,NASDAQ,Real Estate,Real Estate-Development,2020-11-24
AEIS,Advanced Energy Industries Inc.,US,CO,NASDAQ,Industrials,Electrical Equipment & Parts,1995-11-17
AEL,American Equity Investment Life Holding Company,US,IA,NYSE,Financial Services,Insurance-Life,2003-12-04
AEM,Agnico Eagle Mines Limited,CA,ON,NYSE,Basic Materials,Gold,1980-03-17
AEMD,Aethlon Medical Inc.,US,CA,NASDAQ,Healthcare,Medical Devices,1994-03-09
AENZ,Aenza S.A.A.,PE,,NYSE,Industrials,Engineering & Construction,2013-07-24
AEO,American Eagle Outfitters Inc.,US,PA,NYSE,Consumer Cyclical,Apparel Retail,2007-03-08
AEP,American Electric Power Company Inc.,US,OH,NASDAQ,Utilities,Utilities-Regulated Electric,1949-09-01
AEPPZ,American Electric Power Company Inc.,US,OH,NASDAQ,Utilities,Utilities-Regulated Electric,2020-08-19
AER,AerCap Holdings N.V.,IE,,NYSE,Industrials,Rental & Leasing Services,2006-11-20
AERC,AeroClean Technologies Inc.,US,FL,NASDAQ,Industrials,Pollution & Treatment Controls,2021-11-24
AERI,Aerie Pharmaceuticals Inc.,US,NORTH CAROLINA,NASDAQ,Healthcare,Drug Manufacturers-Specialty & Generic,2013-10-25
AES,The AES Corporation,US,VA,NYSE,Utilities,Utilities-Diversified,1996-10-16
AESC,The AES Corporation,US,VA,NYSE,Utilities,Utilities-Diversified,2021-03-15
AESE,Allied Esports Entertainment Inc.,US,CALIFORNIA,NASDAQ,Communication Services,Entertainment,2017-10-05
AESI,Atlas Energy Solutions Inc.,US,TX,NYSE,Energy,Oil & Gas Equipment & Services,2023-03-09
AEVA,Aeva Technologies Inc.,US,CA,NYSE,Consumer Cyclical,Auto Parts,2020-02-27
AEY,ADDvantage Technologies Group Inc.,US,TX,NASDAQ,Technology,Electronics & Computer Distribution,2001-12-03
AEYE,AudioEye Inc.,US,AZ,NASDAQ,Technology,Software-Application,2013-04-26
AEZS,Aeterna Zentaris Inc.,US,SC,NASDAQ,Healthcare,Biotechnology,1995-12-19
AFAR,Aura FAT Projects Acquisition Corp,SG,,NASDAQ,Financial Services,Shell Companies,2022-06-03
AFB,AllianceBernstein National Municipal Income Fund Inc.,US,TN,NYSE,Financial Services,Asset Management,2002-01-28
